textID,selected_text
11aa4945ff,- wish was you from
fd1db57dc0,marathon
2524332d66,for family
0fb19285b2,hey guys to have tooo many followers tho ...
e6c9e5e3ab,26th february
311d2b185b,breaks my heart they in
95dfefd4e7,well wait party 4 mother's day like
739f17cfe1,oh yeah the with are yay for
c6322a85c2,_layne hmm.. what's ur fav movie?? tv shows??
b4401d6b4d,breathe ****
934ac753a2,"nope, i'm on my way home now."
3f8fc09752,anyone super they want me? broke.
a8e2c45625,in study hall with brittneyy!!
d761530c7f,is working until 11 tonight http://plurk.com/p/x2kbv
bb8443d7e2,yes was good
41c5bce464,thank u wait to set with u next
d5c25dbc63,still need to see that movie ! i am all about vampires
7a897c9999,http://twitpic.com/4wptj one of my prized mags/book/annuals dunno if any others were published prolly should google it
4d7def819d,"aw, sorry e. :/ i hope it looks up for you (lame ear) and there's always next year! ****. lamer ear :/ fail. uhh..love ya e!"
a8e17db0cc,poor little her in head
bbf1006316,new + zero contacts send a with your name can save your thanks
0fe8023456,my head sun
949020a350,it's on our
f90a6f5da0,i am so sorry
390f169584,im a lady and ladies don't move couches. they direct where the couches go
0de656eac1,**** fiesta at my house in my mouth hit me up for the password
144e6fb3ad,"lazy day, staying off the foot as much as possible."
9a55d83c79,yeh me 2
27829d97bd,literally cannot fml
bebfd966a0,thanks for the
4626b8b37a,my shoes hurt my feet
bf9189459f,me too tatiiiii!!!
4cc3d3824c,good morning from rsa twitterverse!! please send me some happy vibes &amp; cheerfulness today i'm feeling a little sad
70187852a7,all the
094681e31c,hey there!! like you
16357f7283,hope u alright the final
5aa568e0a4,"i'll be one of your &quot;groovy guys&quot; any time, shortie short #photofollows"
003816f151,would be the awesome
df1baec676,your next video be love your
9f23e5d8f5,someone doesn't feel
316d5aeaf6,for the wayne
ca10e6b390,cut his
f97b6d38ed,i killed my again. why does this happen it is it's dead.
42e4df338b,"you're like facebook, much have a good day!"
cee062574a,thanks to and
d3935b8571,it's surprising how much billy idol turns up in tweets. i monitor constantly - not that i'm obsessed or anything! #billyidol
409767144d,wow a we
a203734990,love your new a very proud
